,created_at,text,lang,timestamp_ms,preprocessed,lemma stop
1473,Sun Jan 23 00:27:46 +0000 2022,misha collins = 🏡💙 https://t.co/EzDRF45UdU,en,1642897666665,misha collins ,misha collins
1474,Sun Jan 23 00:35:57 +0000 2022,@mishacollins @Roadfood123 @Ally @GoldPeak Is it available on Amazon in Brazil?,en,1642898157666, is it available on amazon in brazil ,available amazon brazil
1476,Sun Jan 23 03:13:22 +0000 2022,@mishacollins @Roadfood123 @Ally @GoldPeak Looks like a good time. 👍,en,1642907602666, looks like a good time ,look like good time
1477,Sun Jan 23 03:28:06 +0000 2022,"@blend_showDJ_Li @mishacollins @Roadfood123 @Ally @GoldPeak thanks for this, it was too small for me to read!",en,1642908486662, thanks for this it was too small for me to read ,thank small read
1481,Sun Jan 23 07:09:31 +0000 2022,https://t.co/earyf6bbE4 @jarpad @JensenAckles @mishacollins @RobBenedict @Alex8Calvert family don't end in blood 💓,en,1642921771657, family don t end in blood ,family end blood
1482,Sun Jan 23 09:20:37 +0000 2022,@mishacollins @Roadfood123 @Ally @GoldPeak Wohhhh 🐚 and a lot of it...,en,1642929637665, wohhhh and a lot of it ,wohhhh lot
1489,Mon Jan 24 23:32:20 +0000 2022,@mishacollins @Roadfood123 you two are absolutely adorable 💙,en,1643067140662, you two are absolutely adorable ,two absolutely adorable
1491,Mon Jan 24 23:50:45 +0000 2022,"@mishacollins @Roadfood123 Thank you Misha's mother, for giving us this boy who fills us with pride day after day.  ❤️",en,1643068245663, thank you misha s mother for giving us this boy who fills us with pride day after day ,thank misha mother give us boy fill us pride day day
1492,Tue Jan 25 00:04:45 +0000 2022,Misha Collins and his mom https://t.co/8gF90SzP9s,en,1643069085659,misha collins and his mom ,misha collins mom
1494,Tue Jan 25 00:15:02 +0000 2022,@mishacollins @Roadfood123 you guys are absolutely adorable!!! https://t.co/bjaZTUEuNm,en,1643069702657, you guys are absolutely adorable ,guy absolutely adorable
1498,Tue Jan 25 07:30:50 +0000 2022,@mishacollins @Roadfood123 Omg so cute!!!,en,1643095850662, omg so cute ,omg cute
1500,Tue Jan 25 13:06:54 +0000 2022,"@mishacollins acting Lucifer acting Castiel, my head hurts heh #supernatural https://t.co/0mX9DvjH8N",en,1643116014666, acting lucifer acting castiel my head hurts heh ,act lucifer act castiel head hurt heh
1502,Tue Jan 25 18:54:39 +0000 2022,"@heyDe__ @GISH @charliecapen @mishacollins Starry Night is my favourite painting, of all time, and you have done it justice. Your artistry with *cooked* rice is brilliant ❤️",en,1643136879665, starry night is my favourite painting of all time and you have done it justice your artistry with cooked rice is brilliant ,starry night favourite paint time do justice artistry cook rice brilliant
1503,Tue Jan 25 20:56:05 +0000 2022,"@mishacollins @Roadfood123 @IMDb @Ally @GoldPeak Been watching it on YouTube, will definitely support you",en,1643144165665, been watching it on youtube will definitely support you,watch youtube definitely support
1509,Wed Jan 26 10:18:58 +0000 2022,@svftcas @casdeansoftie @divineedv misha collins,en,1643192338659, misha collins,misha collins
1516,Wed Jan 26 21:44:15 +0000 2022,@mishacollins @__ellie I love this poem!!! 🧡,en,1643233455659, i love this poem ,love poem
1517,Wed Jan 26 21:46:16 +0000 2022,@DavidYankovich @Michelle2088 @mishacollins @Roadfood123 Now we sure do!! Lol,en,1643233576664, now we sure do lol,sure lol
1522,Thu Jan 27 04:05:12 +0000 2022,"I know this is an auto text service @mishacollins but considering my actual physical height, sending me a giraffe on my bday is pretty darn funny. Best present today. 🥳😂🤣 https://t.co/Ez49VLyFFQ",en,1643256312662,i know this is an auto text service but considering my actual physical height sending me a giraffe on my bday is pretty darn funny best present today ,know auto text service consider actual physical height send giraffe bday pretty darn funny best present today
1524,Thu Jan 27 11:15:07 +0000 2022,@redhead_spb @mishacollins 😂 no we can go there with us anyway we just need to go to a California con and find him then ask him if he says no then we take by force,en,1643282107665, no we can go there with us anyway we just need to go to a california con and find him then ask him if he says no then we take by force,go us anyway need go california con find ask say take force
1525,Thu Jan 27 16:30:49 +0000 2022,@mishacollins336 i gotchu bestie 😎,en,1643301049665, i gotchu bestie ,gotchu bestie
1527,Thu Jan 27 20:15:54 +0000 2022,@Roadfood123 @mishacollins @Ally @GoldPeak @bount you could just make a second poll to include the spice collection with Misha’s face on it😌,en,1643314554661, you could just make a second poll to include the spice collection with misha s face on it ,could make second poll include spice collection misha face
1528,Thu Jan 27 20:39:52 +0000 2022,@Roadfood123 @mishacollins @Ally @GoldPeak @bount I will literally take anything at this point lol. Coffee filters? Sure. Pens? Of course. Tshirts or pins? Hells yea,en,1643315992658, i will literally take anything at this point lol coffee filters sure pens of course tshirts or pins hells yea,literally take anything point lol coffee filter sure pen course tshirts pin hells yea
1529,Thu Jan 27 21:18:13 +0000 2022,"@__ellie @mishacollins @Stands I emailed the suggestion to @Otis_Stands , so maybe you’ll hear from them!",en,1643318293663, i emailed the suggestion to so maybe you ll hear from them ,email suggestion maybe hear
1531,Fri Jan 28 00:17:04 +0000 2022,@Roadfood123 @mishacollins @Ally @GoldPeak @bount Why can’t we have all 4??? 😢,en,1643329024665, why can t we have all 4 ,4
1533,Fri Jan 28 03:17:59 +0000 2022,@Roadfood123 @mishacollins @Ally @GoldPeak @bount I can't wait to see some merch!!:),en,1643339879659, i can t wait to see some merch ,wait see merch
1534,Fri Jan 28 09:23:34 +0000 2022,@vad5020 @mishacollins Lucky! 🍀,en,1643361814658, lucky ,lucky
1535,Fri Jan 28 11:07:30 +0000 2022,@Roadfood123 @mishacollins @Ally @GoldPeak @bount Stickers or magnets coz international shipping is a bitxhhh,en,1643368050664, stickers or magnets coz international shipping is a bitxhhh,stickers magnets coz international ship bitxhhh
1538,Fri Jan 28 20:05:39 +0000 2022,@mishacollins Yours are prettier 😍,en,1643400339658, yours are prettier ,prettier
1544,Fri Jan 28 21:00:15 +0000 2022,@mishacollins LOVE U,en,1643403615659, love u,love u
1546,Fri Jan 28 22:34:53 +0000 2022,@mishacollins come on best #SomeThingsIStillCantTellYou,en,1643409293657, come on best ,come best
1552,Sat Jan 29 16:44:26 +0000 2022,"More smiles as he should🥰
Roadfood 1x10 #MishaCollins https://t.co/zKCOisKKTk",en,1643474666666,more smiles as he should roadfood 1x10 ,smile roadfood 1x10
1561,Sat Jan 29 21:27:03 +0000 2022,"Me for the 100th time in one day telling my mom how much I love Misha Collins: 🥰😍❤💕💖
My mom: https://t.co/UVKhE9EFZn",en,1643491623664,me for the 100th time in one day telling my mom how much i love misha collins my mom ,100th time one day tell mom much love misha collins mom
1570,Sat Jan 29 22:49:02 +0000 2022,@drfangirlphd @mishacollins @Roadfood123 It was such a good ep!,en,1643496542665, it was such a good ep ,good ep
1582,Sun Jan 30 05:24:29 +0000 2022,watching my favorite food travel show #Roadfood hosted by @mishacollins! #RoadfoodTV 🥰 https://t.co/8DsG3PFv5k,en,1643520269666,watching my favorite food travel show hosted by ,watch favorite food travel show host
1585,Sun Jan 30 09:16:20 +0000 2022,"@drgenack @FudgeTexas @mishacollins @CreationEnt Order here 😍
https://t.co/M0zbfSCcaL",en,1643534180659, order here ,order
1588,Sun Jan 30 10:57:18 +0000 2022,@mishacollins Well take into account how many times we had rewatch it from season 1 till the last episode before it came to Netflix. Might even pass trillion minutes.,en,1643540238662, well take into account how many times we had rewatch it from season 1 till the last episode before it came to netflix might even pass trillion minutes ,well take account many time rewatch season 1 till last episode come netflix might even pass trillion minutes
1594,Sun Jan 30 19:23:59 +0000 2022,"@mishacollins I think is more weird you're quoting a tweet from 2017
Whaaaat🤯
If God being God has haters obviously the rest of us too.
Let's just ignore them
Let them poison themselves with their own poison.
That's what I do &amp; I'm in peace this way.
Haters have the problem not you. https://t.co/TLvDboHn9N",en,1643570639657, i think is more weird you re quoting a tweet from 2017 whaaaat if god being god has haters obviously the rest of us too let s just ignore them let them poison themselves with their own poison that s what i do amp i m in peace this way haters have the problem not you ,think weird quote tweet 2017 whaaaat god god haters obviously rest us let ignore let poison poison amp peace way haters problem
1598,Sun Jan 30 21:08:13 +0000 2022,@missdeejones32 @RandomActsOrg @mishacollins @RachelMiner1 Awww thank you for saying this!🥺,en,1643576893664, awww thank you for saying this ,awww thank say
1601,Mon Jan 31 00:35:48 +0000 2022,@eqlysians @JensenAckles @mishacollins @jarpad @RuthieConnell @bigEswallz it’s awesome,en,1643589348665, it s awesome,awesome
1606,Mon Jan 31 06:48:23 +0000 2022,@mishacollins Have the left one say it's  goodbyes and move along...❤,en,1643611703661, have the left one say it s goodbyes and move along ,leave one say goodbyes move along
1607,Mon Jan 31 06:56:01 +0000 2022,@mishacollins ITS GONE MAN!!!!!,en,1643612161665, its gone man ,go man
1608,Mon Jan 31 07:05:47 +0000 2022,@mishacollins i would break down on the floor sobbing 😓,en,1643612747666, i would break down on the floor sobbing ,would break floor sob
1609,Mon Jan 31 07:12:41 +0000 2022,@mishacollins Leave it &amp; buy a new one 😳,en,1643613161663, leave it amp buy a new one ,leave amp buy new one
1610,Mon Jan 31 07:30:11 +0000 2022,@danneelsrainbow @mishacollins gonna drive down to you to get some,en,1643614211666, gonna drive down to you to get some,gonna drive get
1611,Mon Jan 31 10:05:54 +0000 2022,"@mishacollins Haha, you better send that earbud to the empty right now☠️☠️😂",en,1643623554657, haha you better send that earbud to the empty right now ,haha better send earbud empty right
1612,Mon Jan 31 12:00:16 +0000 2022,@eqlysians @JensenAckles @mishacollins @jarpad @RuthieConnell @bigEswallz Awesome!,en,1643630416664, awesome ,awesome
1616,Mon Jan 31 15:03:22 +0000 2022,@trenchxdaddy @mishacollins LEAVE THE POOR MAN ALONE,en,1643641402660, leave the poor man alone,leave poor man alone
1617,Mon Jan 31 17:07:59 +0000 2022,@Lauren2926 @mishacollins I tried desperately to melt into the ground.,en,1643648879660, i tried desperately to melt into the ground ,try desperately melt grind
1618,Mon Jan 31 17:42:30 +0000 2022,"@Miss_Honeybee__ @JensenAckles @mishacollins @jarpad @RuthieConnell @bigEswallz Aw, thank you!",en,1643650950663, aw thank you ,aw thank
1619,Mon Jan 31 17:46:43 +0000 2022,@Catj53 @JensenAckles @mishacollins @jarpad @RuthieConnell @bigEswallz Thank you wow! That’s a huge compliment. Would love to actually start professional work.,en,1643651203665, thank you wow that s a huge compliment would love to actually start professional work ,thank wow huge compliment would love actually start professional work
1621,Mon Jan 31 22:16:44 +0000 2022,🤯WHAT A WKND @CreationEnt @cw_spn #SPNDALLAS #SPNPlano #SPNCon #SPNFamily EVRY1 there R beautiful humanbeings&amp; have  kindest souls!THNKU ALL!🖤 @adamfergus @TheOnlyDJQualls @ChadLindberg @jasonmanns @bodyguard4JandJ @RobBenedict @JensenAckles @jarpad @mishacollins @adamfergus https://t.co/uXmNJDtfb0,en,1643667404666, what a wknd evry1 there r beautiful humanbeings amp have kindest souls thnku all ,wknd evry1 r beautiful humanbeings amp kindest souls thnku
1627,Tue Feb 01 00:17:51 +0000 2022,@eqlysians @JensenAckles @mishacollins @jarpad @RuthieConnell @bigEswallz OMG This is amazing!!!!!!,en,1643674671660, omg this is amazing ,omg amaze
1628,Tue Feb 01 00:46:16 +0000 2022,@abeautifulswan @jarpad @JensenAckles @mishacollins @RobBenedict @TheOnlyDJQualls @ChadLindberg @adamfergus SAMESIES! I spazzed so hard I forgot to show most of the cast my tats. 😩I have sooo many! @cw_spn #SPNDallas #SPNPlano #SPNFamilly  🖤🤘🏼 https://t.co/cR8KdwumaX,en,1643676376666, samesies i spazzed so hard i forgot to show most of the cast my tats i have sooo many ,samesies spazzed hard forget show cast tat sooo many
1629,Tue Feb 01 00:57:02 +0000 2022,@mishacollins This tweet is the so true im not a guy but it’s accurate when bending to take care of a patient and it gets in there mess I feel you misha,en,1643677022664, this tweet is the so true im not a guy but it s accurate when bending to take care of a patient and it gets in there mess i feel you misha,tweet true im guy accurate bend take care patient get mess feel misha
1631,Tue Feb 01 02:20:53 +0000 2022,@KimJohn02272551 @RuthieConnell @MarkRPellegrino @dicksp8jr @mishacollins 👀(pokes him in the tags) https://t.co/nsIfzAPm13,en,1643682053661, pokes him in the tags ,poke tag
1633,Tue Feb 01 05:52:15 +0000 2022,@mishacollins 😮😂  Definitely wash your hands AFTER!!,en,1643694735660, definitely wash your hands after ,definitely wash hand
1635,Tue Feb 01 09:55:40 +0000 2022,@Janara_24 @mishacollins god i love That blooper😭😭,en,1643709340664, god i love that blooper ,god love blooper
1637,Tue Feb 01 15:10:05 +0000 2022,@gracelestars @warnerbrostv @cw_spn @TheCW @JensenAckles @jarpad @Mark_Sheppard @mishacollins You are part of a very tiny minority who think so,en,1643728205658, you are part of a very tiny minority who think so,part tiny minority think
1640,Tue Feb 01 18:10:05 +0000 2022,"@AyaELsa24862906 @SunaTemel1 @Shelly_ZerbeMK @LaReinaBoricua @Larrs9325 @pulah_anu @KeriAW84 @GabbyBrown_2005 @dreamvalley84 @MariaGronowski @rynelson2 @WaywardSPNGirl @evaproudofj2 @BggZineb @Birgittheangel @mishacollins @katramdeen @OfflArjun @RockMomSPN @Moondropz @jarpad @JensenAckles @Florentina0988 @MaryRuthWeber2 Aya, we love you. We LOVE you! You are wonderful and unique... And how not to love you for just existing... 🤗🤗🤗🤗",en,1643739005666, aya we love you we love you you are wonderful and unique and how not to love you for just existing ,aya love love wonderful unique love exist
1641,Tue Feb 01 18:39:29 +0000 2022,"@4EverEternalist @Mitsurugi2038 @warnerbrostv @cw_spn @TheCW @JensenAckles @jarpad @Mark_Sheppard @mishacollins Clearly not. Take a look at the IMDB ratings for the finale, and keep in mind that for some reason, the 1-star reviews keep getting deleted—but there’s just too many of them. 😉",en,1643740769664, clearly not take a look at the imdb ratings for the finale and keep in mind that for some reason the 1 star reviews keep getting deleted but there s just too many of them ,clearly take look imdb rat finale keep mind reason 1 star review keep get delete many
1643,Tue Feb 01 21:05:50 +0000 2022,also i got shocked when i heard misha collins once in this LOL,en,1643749550665,also i got shocked when i heard misha collins once in this lol,also get shock hear misha collins lol
1645,Tue Feb 01 22:39:26 +0000 2022,@WolvenGustin @t1gerlilly54321 @imhavinhoops @warnerbrostv @cw_spn @TheCW @JensenAckles @jarpad @Mark_Sheppard @mishacollins Most of the recent reviews are actually overwhelmingly positive so as and when more people watch it they seem to share the view that it was good. Anyways an individual's opinion is their own it doesn't matter which way majority sways especially if it's only 2.9k folks.,en,1643755166657, most of the recent reviews are actually overwhelmingly positive so as and when more people watch it they seem to share the view that it was good anyways an individual s opinion is their own it doesn t matter which way majority sways especially if it s only 2 9k folks ,recent review actually overwhelmingly positive people watch seem share view good anyways individual opinion matter way majority sway especially 2 9k folks
1646,Tue Feb 01 23:06:06 +0000 2022,Good night moonlight @mishacollins https://t.co/flZUMxCNCp,en,1643756766662,good night moonlight ,good night moonlight
1647,Wed Feb 02 00:30:14 +0000 2022,@queenRobina @EkaGlzz @mishacollins @GISH Ooh yes please!!! Please adopt me 🙏🥰😂,en,1643761814666, ooh yes please please adopt me ,ooh yes please please adopt
1648,Wed Feb 02 00:36:59 +0000 2022,@EkaGlzz @SarahRieder81 @mishacollins @GISH Warning your will definitely become weirder,en,1643762219662, warning your will definitely become weirder,warn definitely become weirder
1650,Wed Feb 02 01:27:40 +0000 2022,@queenRobina @mishacollins @RandomActsOrg @AndrewsMcMeel I think so 🤦🏻‍♀️,en,1643765260662, i think so ,think
1654,Wed Feb 02 07:09:04 +0000 2022,@mishacollins @GISH First time. So exciting! https://t.co/VdPXPwspHQ,en,1643785744658, first time so exciting ,first time excite
1659,Wed Feb 02 12:19:33 +0000 2022,"@mishacollins at it's best. 😅 love it 😂❤ no one use powdered sugar like him 😂 - @Roadfood123 

#mishacollins #roadfood #SPNFamily https://t.co/HMuEjnPgOZ",en,1643804373665, at it s best love it no one use powdered sugar like him ,best love one use powder sugar like
1661,Wed Feb 02 16:54:55 +0000 2022,@CreationEnt @jarpad @JensenAckles @mishacollins I wish I could go and wish you guys would come to St. Louis.,en,1643820895664, i wish i could go and wish you guys would come to st louis ,wish could go wish guy would come st louis
1664,Wed Feb 02 19:43:30 +0000 2022,@eorozco2720 @mishacollins Lol it’s ok though maybe it went to the universe now too and eventually I will get his text back again I will keep manifesting it,en,1643831010663, lol it s ok though maybe it went to the universe now too and eventually i will get his text back again i will keep manifesting it,lol ok though maybe go universe eventually get text back keep manifest
1665,Wed Feb 02 20:50:39 +0000 2022,@mishacollins @Roadfood123 @Ally @GoldPeak BABY SPARE MORE CONTENT,en,1643835039662, baby spare more content,baby spare content
1666,Wed Feb 02 20:53:03 +0000 2022,@mishacollins I don't know if you'll see this but I've got an idea Fairfield side food is trying Native American dishes,en,1643835183661, i don t know if you ll see this but i ve got an idea fairfield side food is trying native american dishes,know see get idea fairfield side food try native american dish
1667,Wed Feb 02 21:41:26 +0000 2022,@Roadfood123 @mishacollins @CliffSharples @GISH @charliecapen @RandomActsOrg @RachelMiner1 I hope you are all having a wonderful week may it fill with lots of happiness and love oh and cake https://t.co/6c0prd40jU,en,1643838086657, i hope you are all having a wonderful week may it fill with lots of happiness and love oh and cake ,hope wonderful week may fill lot happiness love oh cake
1670,Wed Feb 02 23:58:01 +0000 2022,@mishacollins very sweet,en,1643846281660, very sweet,sweet
1671,Wed Feb 02 23:58:26 +0000 2022,@mishacollins Princess Bride reference ftw,en,1643846306657, princess bride reference ftw,princess bride reference ftw
1672,Wed Feb 02 23:59:27 +0000 2022,@mishacollins A rat-bit. Apologies amending my emoji choices. 🐀🐰👑,en,1643846367657, a rat bit apologies amending my emoji choices ,rat bite apologies amend emoji choices
1681,Thu Feb 03 04:50:50 +0000 2022,@mishacollins Love your crazy good sense of humor. You spread such joy &amp; laughter. I am ecstatic about my first meet &amp; greet with you in Dallas. Love Roadfood. You are so charming &amp; adorable &amp; also smoking HOT. https://t.co/SMqxXPcWai,en,1643863850658, love your crazy good sense of humor you spread such joy amp laughter i am ecstatic about my first meet amp greet with you in dallas love roadfood you are so charming amp adorable amp also smoking hot ,love crazy good sense humor spread joy amp laughter ecstatic first meet amp greet dallas love roadfood charm amp adorable amp also smoke hot
1684,Thu Feb 03 06:49:39 +0000 2022,"@FckYou_hellers @DestielFight @alex_elena @warnerbrostv @cw_spn @TheCW @JensenAckles @jarpad @Mark_Sheppard @mishacollins Then check it out, you only consider impossible to take me seriously because ""I say the same stuff as hellers"" even if I don't actually neither actively pursue a ship to be canon. 
You basically question everything I said and try to twist and insulted me lol",en,1643870979662, then check it out you only consider impossible to take me seriously because i say the same stuff as hellers even if i don t actually neither actively pursue a ship to be canon you basically question everything i said and try to twist and insulted me lol,check consider impossible take seriously say stuff hellers even actually neither actively pursue ship canon basically question everything say try twist insult lol
1685,Thu Feb 03 07:00:42 +0000 2022,"@FckYou_hellers @DestielFight @alex_elena @warnerbrostv @cw_spn @TheCW @JensenAckles @jarpad @Mark_Sheppard @mishacollins Same for you dear. 

Maybe if more diversity was seen in shows like SPN people won't make a party and get surprised when they feel represented, the presence that there is a difference is what indicates an absense sadly",en,1643871642657, same for you dear maybe if more diversity was seen in shows like spn people won t make a party and get surprised when they feel represented the presence that there is a difference is what indicates an absense sadly,dear maybe diversity see show like spn people make party get surprise feel represent presence difference indicate absense sadly
1686,Thu Feb 03 07:56:25 +0000 2022,"@SamiFlightFuda @TheHUBBUB @mishacollins No this would be my first time, and I'm so excited to meet the overlord 😅 have you been before?",en,1643874985666, no this would be my first time and i m so excited to meet the overlord have you been before ,would first time excite meet overlord
1692,Thu Feb 03 20:08:01 +0000 2022,@DustyLCanon @Stands @charliecapen @GenPadalecki @mishacollins I was wondering how many were going to say this 😂,en,1643918881665, i was wondering how many were going to say this ,wonder many go say
1693,Thu Feb 03 21:24:43 +0000 2022,@HarryFredricks ok SO. writers strike in 2007. s3 cut short dean went to hell unplanned. needed a way to get him out if hell. enter castiel. fans loved him and he stayed. fast forward 11 years. its 15x18 day. destiel goes canon. misha collins campaigns poltics and turns georgia blue. biden wins.,en,1643923483663, ok so writers strike in 2007 s3 cut short dean went to hell unplanned needed a way to get him out if hell enter castiel fans loved him and he stayed fast forward 11 years its 15x18 day destiel goes canon misha collins campaigns poltics and turns georgia blue biden wins ,ok writers strike 2007 s3 cut short dean go hell unplanned need way get hell enter castiel fan love stay fast forward 11 years 15x18 day destiel go canon misha collins campaign poltics turn georgia blue biden win
1694,Thu Feb 03 21:57:48 +0000 2022,@inpainla67 @mishacollins Oh yes so true,en,1643925468663, oh yes so true,oh yes true
1697,Thu Feb 03 22:38:35 +0000 2022,@CharmingStar90 @cas__2y5 @chrisschmelke @JensenAckles @mishacollins from chris’ insta😭,en,1643927915662, from chris insta ,chris insta
1699,Thu Feb 03 23:09:43 +0000 2022,"@Roadfood123 @mishacollins @GoldPeak @Ally @Bounty I’d like to request that Season 2 have hour long episodes! Or even 45 minutes! It feels so short and I’m really enjoying Misha and the people he meets (and the food, too 😎)",en,1643929783666, i d like to request that season 2 have hour long episodes or even 45 minutes it feels so short and i m really enjoying misha and the people he meets and the food too ,like request season 2 hour long episodes even 45 minutes feel short really enjoy misha people meet food
1700,Fri Feb 04 02:44:01 +0000 2022,"According to the lore, I was wrestling with Misha Collins while kissing a changeling and using holy oil. Suddenly, the best tv show ever made was created, so Sam Winchester and I went home.",en,1643942641661,according to the lore i was wrestling with misha collins while kissing a changeling and using holy oil suddenly the best tv show ever made was created so sam winchester and i went home ,accord lore wrestle misha collins kiss changeling use holy oil suddenly best tv show ever make create sam winchester go home
1705,Fri Feb 04 12:29:32 +0000 2022,@amahnke @BridgewaterPod @laurenshippen @mishacollins Congratulations!!! It's well deserved and I can't wait for season 2!!!,en,1643977772664, congratulations it s well deserved and i can t wait for season 2 ,congratulations well deserve wait season 2
1706,Fri Feb 04 12:56:51 +0000 2022,@laurenshippen @BridgewaterPod @amahnke @mishacollins So happy for you guys!!! Well deserved!!! Proud to be a #Bridgie!!! 💞💞💞,en,1643979411658, so happy for you guys well deserved proud to be a ,happy guy well deserve proud
1708,Fri Feb 04 13:31:49 +0000 2022,@amahnke @BridgewaterPod @laurenshippen @mishacollins Congratulations 🎉🎉🎉!  You and your team earned it!,en,1643981509662, congratulations you and your team earned it ,congratulations team earn
1711,Fri Feb 04 17:47:33 +0000 2022,@tknight84 @jarpad @JensenAckles @mishacollins @RobBenedict I totally adore the Rob and you one that is adorable 😍,en,1643996853658, i totally adore the rob and you one that is adorable ,totally adore rob one adorable
1717,Fri Feb 04 20:26:52 +0000 2022,@mishacollins @BridgewaterPod congrats to you guys!!! it's well deserved ❤️,en,1644006412662, congrats to you guys it s well deserved ,congrats guy well deserve
1720,Fri Feb 04 21:06:57 +0000 2022,@mishacollins @FaceMcnerd @BridgewaterPod Congratulations!! You deserve it so much! 💙,en,1644008817662, congratulations you deserve it so much ,congratulations deserve much
1728,Sat Feb 05 02:51:14 +0000 2022,"@mishacollins Go off, King!!!!",en,1644029474665, go off king ,go king
1729,Sat Feb 05 02:51:32 +0000 2022,@mishacollins Misha I’m 😂 very good peer review and assessment. You should guest write a rebuttal.,en,1644029492663, misha i m very good peer review and assessment you should guest write a rebuttal ,misha good peer review assessment guest write rebuttal
1730,Sat Feb 05 02:52:03 +0000 2022,@mishacollins you are so right!,en,1644029523666, you are so right ,right
1733,Sat Feb 05 02:58:50 +0000 2022,@mishacollins I love you😂😂 https://t.co/rfj5cBiwPi,en,1644029930662, i love you ,love
1741,Sat Feb 05 04:15:56 +0000 2022,"Hey @mishacollins @jarpad @JensenAckles I am auctioning off a beloved Supernatural item of mine in support of @alsassociation in memory of my mother who passed away in 2017.

100% of the proceeds will go towards the organization! Please share thank you!

https://t.co/qH8ju8hwRa",en,1644034556658,hey i am auctioning off a beloved supernatural item of mine in support of in memory of my mother who passed away in 2017 100 of the proceeds will go towards the organization please share thank you ,hey auction beloved supernatural item mine support memory mother pass away 2017 100 proceed go towards organization please share thank
1742,Sat Feb 05 05:07:15 +0000 2022,@mishacollins But you and Cas’ face here! 😭 https://t.co/hRvoCUtQB7,en,1644037635663, but you and cas face here ,cas face
1743,Sat Feb 05 05:38:29 +0000 2022,"@mishacollins Well they are, so who wouldn't! 
Quite frankly this startling omissions exposes the shoddy and ineptitude level of investigatory journalism..... 😉🤔🤣😂🤣😂",en,1644039509657, well they are so who wouldn t quite frankly this startling omissions exposes the shoddy and ineptitude level of investigatory journalism ,well quite frankly startle omissions expose shoddy ineptitude level investigatory journalism
1748,Sat Feb 05 07:50:09 +0000 2022,@mishacollins That's the thing you remember about the show?,en,1644047409660, that s the thing you remember about the show ,thing remember show
1750,Sat Feb 05 08:33:26 +0000 2022,"@Roadfood123 @mishacollins @Ally @GoldPeak @Bounty To be fair this was my first time! 😂 Wordle 231 6/6

⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",en,1644050006664, to be fair this was my first time wordle 231 6 6 ,fair first time wordle 231 6 6
1751,Sat Feb 05 09:11:33 +0000 2022,@mishacollins I LOVE YOU?????,en,1644052293663, i love you ,love
1755,Sat Feb 05 16:49:43 +0000 2022,"@SlusanSusan @mishacollins He’s really not!! Spoiler Alert, I already planned on keeping him! 😉😁 lol",en,1644079783658, he s really not spoiler alert i already planned on keeping him lol,really spoiler alert already plan keep lol
1764,Sat Feb 05 21:10:23 +0000 2022,@heyDe__ @mishacollins @JensenAckles @DanneelHarris @jarpad @GenPadalecki I dunno…this is pretty cute 🥺🥺😜 https://t.co/4vSD6dwTB7,en,1644095423662, i dunno this is pretty cute ,dunno pretty cute
1767,Sat Feb 05 21:47:42 +0000 2022,"@mishacollins @JensenAckles @DanneelHarris @jarpad @GenPadalecki I WANT A SUPERNATURAL RE-BOOT....
MISS MY BOYS https://t.co/rLkY7HLovc",en,1644097662663, i want a supernatural re boot miss my boys ,want supernatural boot miss boys
1773,Sat Feb 05 23:47:04 +0000 2022,@tumblr @deanismybuddy @primevideouk @mishacollins @thursdaysangelx  look what you’ve done,en,1644104824663, look what you ve done,look do
1778,Sun Feb 06 03:01:39 +0000 2022,@tumblr @primevideouk @mishacollins As long as you let Misha be on top I'm sure there's room for one more.. 👀 The real question is: how do we make a shipname out of Primblr &amp; Misha Collins?,en,1644116499658, as long as you let misha be on top i m sure there s room for one more the real question is how do we make a shipname out of primblr amp misha collins ,long let misha top sure room one real question make shipname primblr amp misha collins
1781,Sun Feb 06 11:53:43 +0000 2022,I've just posted a new blog: Carry on Oneideatoday x . . . #supernatural #otherworldly #spn #deanwinchester #spnfamily #jensenackles #samwinchester #jaredpadalecki #castiel #supernaturalfamily #mishacollins #spnfandom #supernaturalfandom #destiel #supernaturaledits #supernat…,en,1644148423659,i ve just posted a new blog carry on oneideatoday x ,post new blog carry oneideatoday x
1783,Sun Feb 06 17:18:25 +0000 2022,"@proCasDeanating @mishacollins oh nevermind just read the ""article"", not much objectivity/making sense all over😬",en,1644167905666, oh nevermind just read the article not much objectivity making sense all over ,oh nevermind read article much objectivity make sense
1789,Sun Feb 06 21:57:22 +0000 2022,"„Eugenia“ by @mishacollins . 
I finally finished reading #somethingsistillcanttellyou and this poem was one of my favourite ones! Trans people fight their whole life to shape themselves into the hedge that always grew inside of them.
https://t.co/7I3zccVpz9 #MishaCollins https://t.co/P5kBeTAVRl",en,1644184642660, eugenia by i finally finished reading and this poem was one of my favourite ones trans people fight their whole life to shape themselves into the hedge that always grew inside of them ,eugenia finally finish read poem one favourite ones trans people fight whole life shape hedge always grow inside
1792,Sun Feb 06 22:10:15 +0000 2022,"If you ever wonder why I stan Misha Collins, refer to the video below",en,1644185415657,if you ever wonder why i stan misha collins refer to the video below,ever wonder stan misha collins refer video
